2020/03/27|Windsor and Maidenhead|14
2020/03/27|Peterborough|10
2020/03/27|Dudley|60
2020/03/27|Barnet|103
2020/03/27|Tower Hamlets|93
2020/03/27|Kent|112
2020/03/27|Enfield|110
2020/03/27|Rochdale|38
2020/03/27|Liverpool|72
2020/03/27|Brighton and Hove|30
2020/03/27|Kirklees|24
2020/03/27|Bolton|25
2020/03/27|Sefton|24
2020/03/27|York|14
2020/03/27|Cheshire West and Chester|24
2020/03/27|Dorset|25
2020/03/27|Hertfordshire|170
2020/03/27|Bournemouth, Christchurch and Poole|15
2020/03/27|Norfolk|51
2020/03/27|Luton|30
2020/03/27|Southampton|32
2020/03/27|Milton Keynes|38
2020/03/27|South Gloucestershire|31
2020/03/27|Wakefield|24
2020/03/27|Solihull|29
2020/03/27|Waltham Forest|95
2020/03/27|Cambridgeshire|47
2020/03/27|Bexley|77
2020/03/27|Wirral|22
2020/03/27|Thurrock|20
2020/03/27|Barnsley|27
2020/03/27|Gateshead|12
2020/03/27|Southend-on-Sea|12
2020/03/27|Hartlepool|3
2020/03/27|Redbridge|89
2020/03/27|Barking and Dagenham|72
2020/03/27|Nottingham|67
2020/03/27|Wigan|16
2020/03/27|Camden|85
2020/03/27|Kingston upon Hull, City of|4
2020/03/27|Darlington|5
2020/03/27|South Tyneside|10
2020/03/27|Brent|228
2020/03/27|Northamptonshire|64
2020/03/27|Lambeth|248
2020/03/27|Kensington and Chelsea|110
2020/03/27|Hounslow|112
2020/03/27|Oldham|48
2020/03/27|Halton|8
2020/03/27|Hammersmith and Fulham|94
2020/03/27|Bristol, City of|51
2020/03/27|Cornwall and Isles of Scilly|43
2020/03/27|Slough|22
2020/03/27|Somerset|23
2020/03/27|Worcestershire|76
2020/03/27|Croydon|181
2020/03/27|Sheffield|240
2020/03/27|Blackburn with Darwen|6
2020/03/27|Merton|108
2020/03/27|County Durham|29
2020/03/27|East Sussex|26
2020/03/27|Newcastle upon Tyne|80
2020/03/27|Leeds|67
2020/03/27|Manchester|55
2020/03/27|Rotherham|30
2020/03/27|Harrow|167
2020/03/27|Kingston upon Thames|42
2020/03/27|Wiltshire|43
2020/03/27|Medway|32
2020/03/27|Northumberland|23
2020/03/27|Havering|70
2020/03/27|Staffordshire|121
2020/03/27|Wokingham|13
2020/03/27|Herefordshire, County of|21
2020/03/27|St. Helens|17
2020/03/27|Trafford|46
2020/03/27|Portsmouth|42
2020/03/27|Essex|130
2020/03/27|Cumbria|176
2020/03/27|Middlesbrough|9
2020/03/27|North Yorkshire|50
2020/03/27|Richmond upon Thames|55
2020/03/27|Telford and Wrekin|17
2020/03/27|Bath and North East Somerset|23
2020/03/27|Nottinghamshire|109
2020/03/27|West Berkshire|18
2020/03/27|Greenwich|118
2020/03/27|Torbay|21
2020/03/27|Oxfordshire|98
2020/03/27|Lewisham|144
2020/03/27|Stoke-on-Trent|16
2020/03/27|Newham|109
2020/03/27|North East Lincolnshire|5
2020/03/27|Redcar and Cleveland|10
2020/03/27|Hackney and City of London|119
2020/03/27|Warwickshire|74
2020/03/27|Blackpool|8
2020/03/27|Cheshire East|31
2020/03/27|Buckinghamshire|66
2020/03/27|Salford|52
2020/03/27|Sutton|54
2020/03/27|North Somerset|22
2020/03/27|Shropshire|44
2020/03/27|Hillingdon|103
2020/03/27|Wolverhampton|103
2020/03/27|Doncaster|21
2020/03/27|Stockport|48
2020/03/27|Lancashire|102
2020/03/27|Derbyshire|139
2020/03/27|Surrey|142
2020/03/27|Walsall|78
2020/03/27|Bury|27
2020/03/27|North Tyneside|27
2020/03/27|Wandsworth|204
2020/03/27|Knowsley|12
2020/03/27|Birmingham|290
2020/03/27|Bradford|23
2020/03/27|Islington|96
2020/03/27|Southwark|253
2020/03/27|Tameside|40
2020/03/27|Bedford|10
2020/03/27|Hampshire|267
2020/03/27|Westminster|172
2020/03/27|Isle of Wight|7
2020/03/27|Stockton-on-Tees|16
2020/03/27|West Sussex|69
2020/03/27|Reading|10
2020/03/27|Lincolnshire|32
2020/03/27|North Lincolnshire|6
2020/03/27|Warrington|10
2020/03/27|Devon|55
2020/03/27|Haringey|91
2020/03/27|Coventry|35
2020/03/27|Plymouth|26
2020/03/27|Gloucestershire|64
2020/03/27|Derby|58
2020/03/27|East Riding of Yorkshire|21
2020/03/27|Ealing|165
2020/03/27|Leicestershire|98
2020/03/27|Bromley|149
2020/03/27|Sandwell|65
2020/03/27|Calderdale|9
2020/03/27|Central Bedfordshire|28
2020/03/27|Leicester|45
2020/03/27|Bracknell Forest|3
2020/03/27|Suffolk|42
2020/03/27|Sunderland|27
2020/03/27|Swindon|11
