26th March 2020|Windsor and Maidenhead|14
26th March 2020|Peterborough|10
26th March 2020|Dudley|60
26th March 2020|Barnet|103
26th March 2020|Tower Hamlets|93
26th March 2020|Kent|112
26th March 2020|Enfield|110
26th March 2020|Rochdale|38
26th March 2020|Liverpool|72
26th March 2020|Brighton and Hove|30
26th March 2020|Kirklees|24
26th March 2020|Bolton|25
26th March 2020|Sefton|24
26th March 2020|York|14
26th March 2020|Cheshire West and Chester|24
26th March 2020|Dorset|25
26th March 2020|Hertfordshire|170
26th March 2020|Bournemouth, Christchurch and Poole|15
26th March 2020|Norfolk|51
26th March 2020|Luton|30
26th March 2020|Southampton|32
26th March 2020|Milton Keynes|38
26th March 2020|South Gloucestershire|31
26th March 2020|Wakefield|24
26th March 2020|Solihull|29
26th March 2020|Waltham Forest|95
26th March 2020|Cambridgeshire|47
26th March 2020|Bexley|77
26th March 2020|Wirral|22
26th March 2020|Thurrock|20
26th March 2020|Barnsley|27
26th March 2020|Gateshead|12
26th March 2020|Southend-on-Sea|12
26th March 2020|Hartlepool|3
26th March 2020|Redbridge|89
26th March 2020|Barking and Dagenham|72
26th March 2020|Nottingham|67
26th March 2020|Wigan|16
26th March 2020|Camden|85
26th March 2020|Kingston upon Hull, City of|4
26th March 2020|Darlington|5
26th March 2020|South Tyneside|10
26th March 2020|Brent|228
26th March 2020|Northamptonshire|64
26th March 2020|Lambeth|248
26th March 2020|Kensington and Chelsea|110
26th March 2020|Hounslow|112
26th March 2020|Oldham|48
26th March 2020|Halton|8
26th March 2020|Hammersmith and Fulham|94
26th March 2020|Bristol, City of|51
26th March 2020|Cornwall and Isles of Scilly|43
26th March 2020|Slough|22
26th March 2020|Somerset|23
26th March 2020|Worcestershire|76
26th March 2020|Croydon|181
26th March 2020|Sheffield|240
26th March 2020|Blackburn with Darwen|6
26th March 2020|Merton|108
26th March 2020|County Durham|29
26th March 2020|East Sussex|26
26th March 2020|Newcastle upon Tyne|80
26th March 2020|Leeds|67
26th March 2020|Manchester|55
26th March 2020|Rotherham|30
26th March 2020|Harrow|167
26th March 2020|Kingston upon Thames|42
26th March 2020|Wiltshire|43
26th March 2020|Medway|32
26th March 2020|Northumberland|23
26th March 2020|Havering|70
26th March 2020|Staffordshire|121
26th March 2020|Wokingham|13
26th March 2020|Herefordshire, County of|21
26th March 2020|St. Helens|17
26th March 2020|Trafford|46
26th March 2020|Portsmouth|42
26th March 2020|Essex|130
26th March 2020|Cumbria|176
26th March 2020|Middlesbrough|9
26th March 2020|North Yorkshire|50
26th March 2020|Richmond upon Thames|55
26th March 2020|Telford and Wrekin|17
26th March 2020|Bath and North East Somerset|23
26th March 2020|Nottinghamshire|109
26th March 2020|West Berkshire|18
26th March 2020|Greenwich|118
26th March 2020|Torbay|21
26th March 2020|Oxfordshire|98
26th March 2020|Lewisham|144
26th March 2020|Stoke-on-Trent|16
26th March 2020|Newham|109
26th March 2020|North East Lincolnshire|5
26th March 2020|Redcar and Cleveland|10
26th March 2020|Hackney and City of London|119
26th March 2020|Warwickshire|74
26th March 2020|Blackpool|8
26th March 2020|Cheshire East|31
26th March 2020|Buckinghamshire|66
26th March 2020|Salford|52
26th March 2020|Sutton|54
26th March 2020|North Somerset|22
26th March 2020|Shropshire|44
26th March 2020|Hillingdon|103
26th March 2020|Wolverhampton|103
26th March 2020|Doncaster|21
26th March 2020|Stockport|48
26th March 2020|Lancashire|102
26th March 2020|Derbyshire|139
26th March 2020|Surrey|142
26th March 2020|Walsall|78
26th March 2020|Bury|27
26th March 2020|North Tyneside|27
26th March 2020|Wandsworth|204
26th March 2020|Knowsley|12
26th March 2020|Birmingham|290
26th March 2020|Bradford|23
26th March 2020|Islington|96
26th March 2020|Southwark|253
26th March 2020|Tameside|40
26th March 2020|Bedford|10
26th March 2020|Hampshire|267
26th March 2020|Westminster|172
26th March 2020|Isle of Wight|7
26th March 2020|Stockton-on-Tees|16
26th March 2020|West Sussex|69
26th March 2020|Reading|10
26th March 2020|Lincolnshire|32
26th March 2020|North Lincolnshire|6
26th March 2020|Warrington|10
26th March 2020|Devon|55
26th March 2020|Haringey|91
26th March 2020|Coventry|35
26th March 2020|Plymouth|26
26th March 2020|Gloucestershire|64
26th March 2020|Derby|58
26th March 2020|East Riding of Yorkshire|21
26th March 2020|Ealing|165
26th March 2020|Leicestershire|98
26th March 2020|Bromley|149
26th March 2020|Sandwell|65
26th March 2020|Calderdale|9
26th March 2020|Central Bedfordshire|28
26th March 2020|Leicester|45
26th March 2020|Bracknell Forest|3
26th March 2020|Suffolk|42
26th March 2020|Sunderland|27
26th March 2020|Swindon|11
