2020/03/23|Hartlepool|        3
2020/03/23|Middlesbrough|        3
2020/03/23|Redcar and Cleveland|        3
2020/03/23|Stockton-on-Tees|       12
2020/03/23|Darlington|        3
2020/03/23|Halton|        7
2020/03/23|Warrington|        7
2020/03/23|Blackburn with Darwen|        1
2020/03/23|Blackpool|        6
2020/03/23|Kingston upon Hull, City of|        1
2020/03/23|East Riding of Yorkshire|       16
2020/03/23|North East Lincolnshire|        1
2020/03/23|North Lincolnshire|        3
2020/03/23|York|       10
2020/03/23|Derby|       23
2020/03/23|Leicester|       22
2020/03/23|Rutland|        0
2020/03/23|Nottingham|       41
2020/03/23|Herefordshire, County of|        7
2020/03/23|Telford and Wrekin|        3
2020/03/23|Stoke-on-Trent|        4
2020/03/23|Bath and North East Somerset|       16
2020/03/23|Bristol, City of|       28
2020/03/23|North Somerset|        7
2020/03/23|South Gloucestershire|       19
2020/03/23|Plymouth|       11
2020/03/23|Torbay|       17
2020/03/23|Swindon|        7
2020/03/23|Peterborough|        3
2020/03/23|Luton|       15
2020/03/23|Southend-on-Sea|        8
2020/03/23|Thurrock|       13
2020/03/23|Medway|       15
2020/03/23|Bracknell Forest|        3
2020/03/23|West Berkshire|       10
2020/03/23|Reading|        8
2020/03/23|Slough|       22
2020/03/23|Windsor and Maidenhead|       13
2020/03/23|Wokingham|       13
2020/03/23|Milton Keynes|       17
2020/03/23|Brighton and Hove|       17
2020/03/23|Portsmouth|       25
2020/03/23|Southampton|       11
2020/03/23|Isle of Wight|        2
2020/03/23|County Durham|       14
2020/03/23|Cheshire East|       18
2020/03/23|Cheshire West and Chester|       16
2020/03/23|Shropshire|       10
2020/03/23|Cornwall and Isles of Scilly|       25
2020/03/23|Wiltshire|       28
2020/03/23|Bedford|        7
2020/03/23|Central Bedfordshire|       19
2020/03/23|Northumberland|       10
2020/03/23|Bournemouth, Christchurch and Poole|       13
2020/03/23|Dorset|       14
2020/03/23|Bolton|       18
2020/03/23|Bury|       15
2020/03/23|Manchester|       37
2020/03/23|Oldham|       28
2020/03/23|Rochdale|       19
2020/03/23|Salford|       25
2020/03/23|Stockport|       36
2020/03/23|Tameside|       27
2020/03/23|Trafford|       28
2020/03/23|Wigan|        9
2020/03/23|Knowsley|        5
2020/03/23|Liverpool|       35
2020/03/23|St. Helens|        6
2020/03/23|Sefton|       10
2020/03/23|Wirral|       12
2020/03/23|Barnsley|       11
2020/03/23|Doncaster|        9
2020/03/23|Rotherham|       12
2020/03/23|Sheffield|      106
2020/03/23|Newcastle upon Tyne|       42
2020/03/23|North Tyneside|       18
2020/03/23|South Tyneside|        6
2020/03/23|Sunderland|       13
2020/03/23|Birmingham|      137
2020/03/23|Coventry|       19
2020/03/23|Dudley|       26
2020/03/23|Sandwell|       31
2020/03/23|Solihull|        8
2020/03/23|Walsall|       37
2020/03/23|Wolverhampton|       69
2020/03/23|Bradford|       13
2020/03/23|Calderdale|        7
2020/03/23|Kirklees|       16
2020/03/23|Leeds|       35
2020/03/23|Wakefield|       12
2020/03/23|Gateshead|        4
2020/03/23|Barking and Dagenham|       42
2020/03/23|Barnet|       94
2020/03/23|Bexley|       43
2020/03/23|Brent|      143
2020/03/23|Bromley|       76
2020/03/23|Camden|       60
2020/03/23|Croydon|       85
2020/03/23|Ealing|      106
2020/03/23|Enfield|       76
2020/03/23|Greenwich|       67
2020/03/23|Hackney and City of London|       72
2020/03/23|Hammersmith and Fulham|       58
2020/03/23|Haringey|       64
2020/03/23|Harrow|      113
2020/03/23|Havering|       39
2020/03/23|Hillingdon|       78
2020/03/23|Hounslow|       73
2020/03/23|Islington|       59
2020/03/23|Kensington and Chelsea|       85
2020/03/23|Kingston upon Thames|       23
2020/03/23|Lambeth|      134
2020/03/23|Lewisham|       86
2020/03/23|Merton|       57
2020/03/23|Newham|       70
2020/03/23|Redbridge|       51
2020/03/23|Richmond upon Thames|       31
2020/03/23|Southwark|      154
2020/03/23|Sutton|       24
2020/03/23|Tower Hamlets|       67
2020/03/23|Waltham Forest|       56
2020/03/23|Wandsworth|      113
2020/03/23|Westminster|      134
2020/03/23|Buckinghamshire|       45
2020/03/23|Cambridgeshire|       30
2020/03/23|Cumbria|      110
2020/03/23|Derbyshire|       82
2020/03/23|Devon|       46
2020/03/23|East Sussex|       11
2020/03/23|Essex|       67
2020/03/23|Gloucestershire|       32
2020/03/23|Hampshire|      171
2020/03/23|Hertfordshire|      115
2020/03/23|Kent|       64
2020/03/23|Lancashire|       59
2020/03/23|Leicestershire|       53
2020/03/23|Lincolnshire|       20
2020/03/23|Norfolk|       35
2020/03/23|Northamptonshire|       29
2020/03/23|North Yorkshire|       24
2020/03/23|Nottinghamshire|       71
2020/03/23|Oxfordshire|       63
2020/03/23|Somerset|       15
2020/03/23|Staffordshire|       54
2020/03/23|Suffolk|       22
2020/03/23|Surrey|       69
2020/03/23|Warwickshire|       35
2020/03/23|West Sussex|       28
2020/03/23|Worcestershire|       28
