2020-03-28|Windsor and Maidenhead|44
2020-03-28|Peterborough|20
2020-03-28|Dudley|83
2020-03-28|Barnet|117
2020-03-28|Tower Hamlets|160
2020-03-28|Kent|230
2020-03-28|Enfield|144
2020-03-28|Rochdale|52
2020-03-28|Liverpool|132
2020-03-28|Brighton and Hove|33
2020-03-28|Kirklees|38
2020-03-28|Bolton|33
2020-03-28|Sefton|35
2020-03-28|York|19
2020-03-28|Cheshire West and Chester|31
2020-03-28|Dorset|30
2020-03-28|Hertfordshire|262
2020-03-28|Bedford|25
2020-03-28|Norfolk|90
2020-03-28|Luton|53
2020-03-28|Southampton|41
2020-03-28|Milton Keynes|71
2020-03-28|South Gloucestershire|49
2020-03-28|Wakefield|40
2020-03-28|Solihull|54
2020-03-28|Waltham Forest|154
2020-03-28|Cambridgeshire|85
2020-03-28|Bexley|102
2020-03-28|Wirral|40
2020-03-28|Thurrock|33
2020-03-28|Barnsley|62
2020-03-28|Gateshead|31
2020-03-28|Southend-on-Sea|23
2020-03-28|Hartlepool|7
2020-03-28|Redbridge|128
2020-03-28|Barking and Dagenham|93
2020-03-28|Nottingham|91
2020-03-28|Wigan|30
2020-03-28|Camden|115
2020-03-28|Kingston upon Hull, City of|5
2020-03-28|Darlington|14
2020-03-28|South Tyneside|22
2020-03-28|Brent|295
2020-03-28|Northamptonshire|106
2020-03-28|Lambeth|318
2020-03-28|Kensington and Chelsea|123
2020-03-28|Hounslow|139
2020-03-28|Oldham|73
2020-03-28|Halton|12
2020-03-28|Hammersmith and Fulham|124
2020-03-28|Bristol, City of|65
2020-03-28|Cornwall and Isles of Scilly|56
2020-03-28|Slough|69
2020-03-28|Somerset|31
2020-03-28|Worcestershire|108
2020-03-28|Croydon|261
2020-03-28|Sheffield|361
2020-03-28|Blackburn with Darwen|10
2020-03-28|Merton|141
2020-03-28|County Durham|69
2020-03-28|East Sussex|43
2020-03-28|Newcastle upon Tyne|135
2020-03-28|Leeds|95
2020-03-28|Manchester|76
2020-03-28|Rotherham|57
2020-03-28|Harrow|225
2020-03-28|Kingston upon Thames|66
2020-03-28|Wiltshire|58
2020-03-28|Medway|50
2020-03-28|Northumberland|53
2020-03-28|Havering|101
2020-03-28|Staffordshire|186
2020-03-28|Wokingham|23
2020-03-28|Herefordshire, County of|25
2020-03-28|St. Helens|33
2020-03-28|Trafford|64
2020-03-28|Portsmouth|64
2020-03-28|Essex|213
2020-03-28|Cumbria|238
2020-03-28|Middlesbrough|19
2020-03-28|North Yorkshire|75
2020-03-28|Richmond upon Thames|83
2020-03-28|Bath and North East Somerset|32
2020-03-28|Doncaster|38
2020-03-28|Nottinghamshire|177
2020-03-28|West Berkshire|36
2020-03-28|Greenwich|148
2020-03-28|Torbay|25
2020-03-28|Oxfordshire|121
2020-03-28|Lewisham|188
2020-03-28|Stoke-on-Trent|27
2020-03-28|Newham|195
2020-03-28|North East Lincolnshire|8
2020-03-28|Redcar and Cleveland|15
2020-03-28|Hackney and City of London|151
2020-03-28|Warwickshire|113
2020-03-28|Blackpool|10
2020-03-28|Cheshire East|42
2020-03-28|Buckinghamshire|115
2020-03-28|Salford|78
2020-03-28|Sutton|82
2020-03-28|North Somerset|31
2020-03-28|Shropshire|56
2020-03-28|Hillingdon|140
2020-03-28|Wolverhampton|141
2020-03-28|Rutland|2
2020-03-28|Stockport|66
2020-03-28|Telford and Wrekin|23
2020-03-28|Lancashire|167
2020-03-28|Derbyshire|194
2020-03-28|Surrey|314
2020-03-28|Walsall|108
2020-03-28|Bury|40
2020-03-28|North Tyneside|46
2020-03-28|Wandsworth|265
2020-03-28|Knowsley|19
2020-03-28|Birmingham|428
2020-03-28|Bradford|37
2020-03-28|Islington|131
2020-03-28|Southwark|319
2020-03-28|Tameside|52
2020-03-28|Bournemouth, Christchurch and Poole|25
2020-03-28|Hampshire|384
2020-03-28|Westminster|206
2020-03-28|Isle of Wight|10
2020-03-28|Stockton-on-Tees|29
2020-03-28|West Sussex|110
2020-03-28|Reading|27
2020-03-28|Lincolnshire|53
2020-03-28|North Lincolnshire|7
2020-03-28|Warrington|19
2020-03-28|Devon|84
2020-03-28|Haringey|127
2020-03-28|Coventry|54
2020-03-28|Plymouth|39
2020-03-28|Gloucestershire|105
2020-03-28|Derby|100
2020-03-28|East Riding of Yorkshire|26
2020-03-28|Ealing|241
2020-03-28|Leicestershire|136
2020-03-28|Bromley|217
2020-03-28|Sandwell|116
2020-03-28|Calderdale|15
2020-03-28|Central Bedfordshire|48
2020-03-28|Leicester|65
2020-03-28|Bracknell Forest|17
2020-03-28|Suffolk|74
2020-03-28|Sunderland|68
2020-03-28|Swindon|18
