2020/03/22|London|    2,189
2020/03/22|South East|      536
2020/03/22|South West|      242
2020/03/22|East of England|      274
2020/03/22|Midlands|      624
2020/03/22|North East and Yorkshire|      368
2020/03/22|North West|      390
