2020/03/18|Hartlepool|        1
2020/03/18|Middlesbrough|        0
2020/03/18|Redcar and Cleveland|        1
2020/03/18|Stockton-on-Tees|        6
2020/03/18|Darlington|        2
2020/03/18|Halton|        4
2020/03/18|Warrington|        4
2020/03/18|Blackburn with Darwen|        1
2020/03/18|Blackpool|        4
2020/03/18|Kingston upon Hull, City of|        1
2020/03/18|East Riding of Yorkshire|       10
2020/03/18|North East Lincolnshire|        0
2020/03/18|North Lincolnshire|        1
2020/03/18|York|        4
2020/03/18|Derby|       11
2020/03/18|Leicester|        3
2020/03/18|Rutland|        0
2020/03/18|Nottingham|       14
2020/03/18|Herefordshire, County of|        3
2020/03/18|Telford and Wrekin|        0
2020/03/18|Stoke-on-Trent|        1
2020/03/18|Bath and North East Somerset|        3
2020/03/18|Bristol, City of|       12
2020/03/18|North Somerset|        4
2020/03/18|South Gloucestershire|        9
2020/03/18|Plymouth|        5
2020/03/18|Torbay|        6
2020/03/18|Swindon|        3
2020/03/18|Peterborough|        2
2020/03/18|Luton|        3
2020/03/18|Southend-on-Sea|        5
2020/03/18|Thurrock|        2
2020/03/18|Medway|        4
2020/03/18|Bracknell Forest|        3
2020/03/18|West Berkshire|        3
2020/03/18|Reading|        5
2020/03/18|Slough|       13
2020/03/18|Windsor and Maidenhead|       10
2020/03/18|Wokingham|       10
2020/03/18|Milton Keynes|        4
2020/03/18|Brighton and Hove|       11
2020/03/18|Portsmouth|        4
2020/03/18|Southampton|        4
2020/03/18|Isle of Wight|        2
2020/03/18|County Durham|        3
2020/03/18|Cheshire East|        8
2020/03/18|Cheshire West and Chester|        5
2020/03/18|Shropshire|        3
2020/03/18|Cornwall and Isles of Scilly|       10
2020/03/18|Wiltshire|        9
2020/03/18|Bedford|        1
2020/03/18|Central Bedfordshire|        6
2020/03/18|Northumberland|        4
2020/03/18|Bournemouth, Christchurch and Poole|        7
2020/03/18|Dorset|        5
2020/03/18|Bolton|        7
2020/03/18|Bury|        7
2020/03/18|Manchester|       18
2020/03/18|Oldham|       12
2020/03/18|Rochdale|        6
2020/03/18|Salford|        4
2020/03/18|Stockport|       10
2020/03/18|Tameside|       12
2020/03/18|Trafford|       14
2020/03/18|Wigan|        4
2020/03/18|Knowsley|        1
2020/03/18|Liverpool|       12
2020/03/18|St. Helens|        2
2020/03/18|Sefton|        4
2020/03/18|Wirral|        8
2020/03/18|Barnsley|        6
2020/03/18|Doncaster|        3
2020/03/18|Rotherham|        4
2020/03/18|Sheffield|       36
2020/03/18|Newcastle upon Tyne|       13
2020/03/18|North Tyneside|        7
2020/03/18|South Tyneside|        2
2020/03/18|Sunderland|        3
2020/03/18|Birmingham|       25
2020/03/18|Coventry|        4
2020/03/18|Dudley|       10
2020/03/18|Sandwell|        6
2020/03/18|Solihull|        1
2020/03/18|Walsall|       14
2020/03/18|Wolverhampton|       22
2020/03/18|Bradford|        8
2020/03/18|Calderdale|        3
2020/03/18|Kirklees|        2
2020/03/18|Leeds|       12
2020/03/18|Wakefield|        5
2020/03/18|Gateshead|        1
2020/03/18|Barking and Dagenham|       14
2020/03/18|Barnet|       27
2020/03/18|Bexley|       17
2020/03/18|Brent|       45
2020/03/18|Bromley|       32
2020/03/18|Camden|       30
2020/03/18|Croydon|       32
2020/03/18|Ealing|       42
2020/03/18|Enfield|       27
2020/03/18|Greenwich|       19
2020/03/18|Hackney and City of London|       29
2020/03/18|Hammersmith and Fulham|       25
2020/03/18|Haringey|       29
2020/03/18|Harrow|       40
2020/03/18|Havering|        7
2020/03/18|Hillingdon|       21
2020/03/18|Hounslow|       24
2020/03/18|Islington|       29
2020/03/18|Kensington and Chelsea|       55
2020/03/18|Kingston upon Thames|        7
2020/03/18|Lambeth|       61
2020/03/18|Lewisham|       22
2020/03/18|Merton|       34
2020/03/18|Newham|       23
2020/03/18|Redbridge|        7
2020/03/18|Richmond upon Thames|        7
2020/03/18|Southwark|       70
2020/03/18|Sutton|       12
2020/03/18|Tower Hamlets|       25
2020/03/18|Waltham Forest|       14
2020/03/18|Wandsworth|       59
2020/03/18|Westminster|       68
2020/03/18|Buckinghamshire|       27
2020/03/18|Cambridgeshire|       14
2020/03/18|Cumbria|       34
2020/03/18|Derbyshire|       27
2020/03/18|Devon|       25
2020/03/18|East Sussex|        8
2020/03/18|Essex|       27
2020/03/18|Gloucestershire|       12
2020/03/18|Hampshire|       77
2020/03/18|Hertfordshire|       50
2020/03/18|Kent|       21
2020/03/18|Lancashire|       15
2020/03/18|Leicestershire|       14
2020/03/18|Lincolnshire|        7
2020/03/18|Norfolk|        4
2020/03/18|Northamptonshire|       15
2020/03/18|North Yorkshire|       11
2020/03/18|Nottinghamshire|       28
2020/03/18|Oxfordshire|       34
2020/03/18|Somerset|        7
2020/03/18|Staffordshire|       14
2020/03/18|Suffolk|       10
2020/03/18|Surrey|       39
2020/03/18|Warwickshire|       10
2020/03/18|West Sussex|       10
2020/03/18|Worcestershire|        5
