2020/03/24|Hartlepool|        3
2020/03/24|Middlesbrough|        7
2020/03/24|Redcar and Cleveland|        7
2020/03/24|Stockton-on-Tees|       12
2020/03/24|Darlington|        3
2020/03/24|Halton|        8
2020/03/24|Warrington|        8
2020/03/24|Blackburn with Darwen|        2
2020/03/24|Blackpool|        8
2020/03/24|Kingston upon Hull, City of|        1
2020/03/24|East Riding of Yorkshire|       16
2020/03/24|North East Lincolnshire|        3
2020/03/24|North Lincolnshire|        5
2020/03/24|York|       11
2020/03/24|Derby|       37
2020/03/24|Leicester|       24
2020/03/24|Rutland|        0
2020/03/24|Nottingham|       49
2020/03/24|Herefordshire, County of|       15
2020/03/24|Telford and Wrekin|        9
2020/03/24|Stoke-on-Trent|        9
2020/03/24|Bath and North East Somerset|       17
2020/03/24|Bristol, City of|       37
2020/03/24|North Somerset|       21
2020/03/24|South Gloucestershire|       19
2020/03/24|Plymouth|       16
2020/03/24|Torbay|       17
2020/03/24|Swindon|        7
2020/03/24|Peterborough|        6
2020/03/24|Luton|       19
2020/03/24|Southend-on-Sea|        8
2020/03/24|Thurrock|       15
2020/03/24|Medway|       19
2020/03/24|Bracknell Forest|        3
2020/03/24|West Berkshire|       12
2020/03/24|Reading|        8
2020/03/24|Slough|       22
2020/03/24|Windsor and Maidenhead|       13
2020/03/24|Wokingham|       13
2020/03/24|Milton Keynes|       25
2020/03/24|Brighton and Hove|       25
2020/03/24|Portsmouth|       29
2020/03/24|Southampton|       24
2020/03/24|Isle of Wight|        3
2020/03/24|County Durham|       18
2020/03/24|Cheshire East|       25
2020/03/24|Cheshire West and Chester|       18
2020/03/24|Shropshire|       27
2020/03/24|Cornwall and Isles of Scilly|       30
2020/03/24|Wiltshire|       34
2020/03/24|Bedford|        7
2020/03/24|Central Bedfordshire|       22
2020/03/24|Northumberland|       13
2020/03/24|Bournemouth, Christchurch and Poole|       14
2020/03/24|Dorset|       15
2020/03/24|Bolton|       19
2020/03/24|Bury|       17
2020/03/24|Manchester|       41
2020/03/24|Oldham|       34
2020/03/24|Rochdale|       24
2020/03/24|Salford|       31
2020/03/24|Stockport|       42
2020/03/24|Tameside|       32
2020/03/24|Trafford|       31
2020/03/24|Wigan|       11
2020/03/24|Knowsley|        8
2020/03/24|Liverpool|       41
2020/03/24|St. Helens|        8
2020/03/24|Sefton|       13
2020/03/24|Wirral|       15
2020/03/24|Barnsley|       15
2020/03/24|Doncaster|       13
2020/03/24|Rotherham|       16
2020/03/24|Sheffield|      130
2020/03/24|Newcastle upon Tyne|       49
2020/03/24|North Tyneside|       20
2020/03/24|South Tyneside|        8
2020/03/24|Sunderland|       20
2020/03/24|Birmingham|      187
2020/03/24|Coventry|       24
2020/03/24|Dudley|       40
2020/03/24|Sandwell|       47
2020/03/24|Solihull|       12
2020/03/24|Walsall|       43
2020/03/24|Wolverhampton|       81
2020/03/24|Bradford|       14
2020/03/24|Calderdale|        7
2020/03/24|Kirklees|       17
2020/03/24|Leeds|       42
2020/03/24|Wakefield|       13
2020/03/24|Gateshead|        5
2020/03/24|Barking and Dagenham|       45
2020/03/24|Barnet|       99
2020/03/24|Bexley|       47
2020/03/24|Brent|      170
2020/03/24|Bromley|       93
2020/03/24|Camden|       64
2020/03/24|Croydon|      128
2020/03/24|Ealing|      123
2020/03/24|Enfield|       84
2020/03/24|Greenwich|       77
2020/03/24|Hackney and City of London|       74
2020/03/24|Hammersmith and Fulham|       70
2020/03/24|Haringey|       72
2020/03/24|Harrow|      134
2020/03/24|Havering|       44
2020/03/24|Hillingdon|       85
2020/03/24|Hounslow|       82
2020/03/24|Islington|       66
2020/03/24|Kensington and Chelsea|       91
2020/03/24|Kingston upon Thames|       36
2020/03/24|Lambeth|      188
2020/03/24|Lewisham|       97
2020/03/24|Merton|       84
2020/03/24|Newham|       76
2020/03/24|Redbridge|       57
2020/03/24|Richmond upon Thames|       36
2020/03/24|Southwark|      181
2020/03/24|Sutton|       40
2020/03/24|Tower Hamlets|       70
2020/03/24|Waltham Forest|       61
2020/03/24|Wandsworth|      155
2020/03/24|Westminster|      143
2020/03/24|Buckinghamshire|       50
2020/03/24|Cambridgeshire|       37
2020/03/24|Cumbria|      129
2020/03/24|Derbyshire|      101
2020/03/24|Devon|       48
2020/03/24|East Sussex|       21
2020/03/24|Essex|       80
2020/03/24|Gloucestershire|       49
2020/03/24|Hampshire|      207
2020/03/24|Hertfordshire|      139
2020/03/24|Kent|       72
2020/03/24|Lancashire|       71
2020/03/24|Leicestershire|       65
2020/03/24|Lincolnshire|       24
2020/03/24|Norfolk|       42
2020/03/24|Northamptonshire|       37
2020/03/24|North Yorkshire|       30
2020/03/24|Nottinghamshire|       78
2020/03/24|Oxfordshire|       69
2020/03/24|Somerset|       21
2020/03/24|Staffordshire|       76
2020/03/24|Suffolk|       28
2020/03/24|Surrey|      110
2020/03/24|Warwickshire|       52
2020/03/24|West Sussex|       52
2020/03/24|Worcestershire|       38
