2020/03/10|London|       91
2020/03/10|South East|       51
2020/03/10|South West|       41
2020/03/10|East of England|       29
2020/03/10|Midlands|       36
2020/03/10|North East and Yorkshire|       24
2020/03/10|North West|       37
